ISO3	src	update	xls_saved	lat	lng	Country	Confinement__Confinement-measures	Social-Measures__Reducing-workers-exposure-to-Covid-19-in-the-workplace	Social-Measures__Income-support-to-sick-workers-and-their-families	Social-Measures__Income-support-to-quarantined-workers-who-cannot-work-from-home	Social-Measures__Helping-dealing-with-unforeseen-care-needs	Social-Measures__Income-support-to-persons-losing-their-jobs-or-self-employment-income	Social-Measures__Helping-firms-to-adjust-working-time-and-preserve-jobs	Social-Measures__Financial-support-to-firms-affected-by-a-drop-in-demand	Social-Measures__Changes-to-dismissal-regulation	Social-Measures__Helping-economically-insecure-workers-stay-in-their-homes	More__Government-links-for-more-details
DEU		April 7, 2020		51.394	9.657	Germany	Schools and universities are closed, travel restrictions, non-essential shops and public spaces are closed, ban on large gatherings	Teleworking encouraged when possible		Employees will continue to receive a salary and employers will be reimbursed by the Federal Government. The wages are also paid in quarantine, where the Infection Protection Act applies with continued wages, which the employer can then get from the health department.	Some schools and childcare facilities remain open, with a skeleton staff, to look after children of essential service workers.  If the day care center or school is closed and mother or father have to stay at home because of this, there is "no fault of your own fault" within the meaning of Section 616 of the German Civil Code (BGB), according to a leaflet issued by the German Trade Union Federation (DGB). Due to this prevention, the employee is entitled to a paid leave of absence, unless paragraph 616 is excluded by a collective agreement or employment contract.	Self-employed persons and freelancers will receive compensation for loss of earnings based on the profits established in the tax declaration of the previous calendar year. The self-employed also have the right to an income replacement from the health authority if there is a concrete and certified suspicion of infection. The Federal Employment Agency pays the short-time allowance for lost working hours in the amount of 67 percent (60 percent for childless) of the lost net wages. Social security contributions for lost working hours are to be fully reimbursed to employers through the new regulation.	Previously, companies could apply for Kurzarbeit when 30% of their employees are affected by drop in orders due to economic developments. This has now been lowered to 10% of employees. Partial or complete waiver of the need to build up a negative balance in working hours. Reduced hours compensation benefit will also be available to temporary/agency workers. Complete reimbursement of social security contributions by the Federal Labour Office	The German government will protect businesses with new measures to provide liquidity, the volume of which is unlimited. Due to the high degree of uncertainty in the current situation, the government has very deliberately decided to not set any limits on the volume of these measures. This is a very significant decision which is supported by the entire federal government. Germany authorized its state bank (a bank run by the government, but not a central bank), KfW, to lend out as much as $610 billion to companies to cushion the effects of the coronavirus. April 6th: immediate-loan scheme through the KfW with 100% government risk assumption and without a firm’s risk assessment.		As of April 1st, missed rent payments due to COVID-related reasons cannot lead to evictions and rent payments for these tenants will be postponed (in force 1st of April to 30th of June). Rents need to be paid in full afterwards (by 30th of June 2022) to ensure no losses for landlords. Consumers that cannot finance running consumption costs for their housing units (such as electricity, gas, telecommunication and water) can postpone them without being charged late payment fees or forced to judicial debt collection.	https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html https://www.bmas.de/DE/Presse/Meldungen/2020/corona-virus-arbeitsrechtliche-auswirkungen.htm
GRC		March 19, 2020		39.787	21.617	Greece	Schools and universities are closed, travel restrictions		800 euros payment (to be made in the first half of April) to about 500 000 employees in the companies/businesses closed because of COVID (Government decision) and payment of their social security contributions. This also applies to self-employed. 			Unemployment benefit payments will be extended by 2 months for those whose entitlement ends on 31 March. 		Social contributions payments and tax obligations due in March have been postponed by 4 months for the affected companies/businesses. The suspension of social security and tax obligations are conditional on no layoffs . Companies that have closed because of  COVID will pay only 60% of their rent in March and April.  		Temporary reduction of rent payments (to 60%) for their main residence if tenants lost their job	https://www.minfin.gr/web/guest/deltia-typou/-/asset_publisher/4kjvD0lBldee/content/d-t-topothetese-tou-ypourgou-oikonomikon-k-chrestou-staikoura-gia-te-deutere-desme-metron-antimetopises-ton-epiptoseon-tou-koronoiou?
HUN		April 9, 2020		47.174	19.618	Hungary	• Schools and universities are closed (virtual education is in place).                                          • Ban on gatherings above 100 individuals inside and 500 outside.                                                  • Non-essential shops can be open only until 3pm.  • Movements asked to be limited to essentials and while keeping 1.5m from others.                                    • Those above 65 can only go to supermarkets and pharmacies only between 9 and 12 o’clock (while persons under 65 outside this period).          • Travel bans are in place.	The employer has the right to modify working time diverging from what is mandated in the law, order telework unilaterally and put in place measures to protect the health of the employees. 			Some of the child benefits  (GYES, GYED, GYET) that would expire during the state of emergency will be extended providing additional resources to less than 0.5% of families with small children each months.		• Short-time work scheme, where the state pays 70% of the wages for 3 months for companies that lost 15-50% of their activities.                     • The state provides 40% wage compensation for engineers and those working in the R&D sector. Workers who benefit from this cannot be eligible for the short-time work scheme. 	• Stop on individuals and company loan payments until December 2020. • Short term company loans get automatically elongated until June 30. • Employers in tourism and hospitality, entertainment movie making and performing arts, gambling, event management, media those providing sport services are exempt from paying social security contributions after their employees between March and June.  • ‘Small taxpayer’ Enterprises (Kisadózó vállalkozások) working in personal transport industry (taxis etc.) have some corporate tax exemptions. Further temporary tax exemptions is granted for 81,480 small businesses and individual entrepreneurs in selected professions until 30 June.  • Tax collection of unpaid flat-rate small business tax (so-called KATA) incurred before 1 March is suspended until the quarter following the end of the state of emergency.    • The tourism and hospitality industry is exempt form tourist tax until the end of the year.                                                                             • Funds of 600 million HUF available for ’protection’ of the tourism industry.                                                                      • Loans of 2000 billion HUF available with preferential conditions for businesses.                                              • Social security contributions are decreased by 2pp.       • Processing VAT clawbacks is reduced to 20 and 30 days.		Temporary suspension of evictions 	https://magyarkozlony.hu/   http://abouthungary.hu/news-in-brief/regulations-related-to-taxation-released/
ISL		March 16, 2020		64.826	-18.417	Iceland	Schools are closed, travel restrictions, large gatherings are banned, social distancing measures 		The parliament is preparing legislation on paid leave during quarantine.	Quarantine payments: the aim is to support employers who pay wages to employees who have been quarantined when other entitlements, such as sick leave per collective agreements, do not apply (period of February 1st 2020 until April 30th 2020 and applications must be submitted before July 1st 2020). 	One-off child benefit payment.	Up to 75% of salary for short-term workers or unemployed  Wages paid alongside reduced unemployment ratio do not deplete unemployment benefits (between March 15th and June 1st  2020)	Reduced Employment ratio: workers who see their working hours reduced are entitled to the payment of unemployment benefits. The new provisions are valid from March 15th until June 1st  2020. The measure is intended to encourage employers to maintain employment relationships instead of using layoffs. It consists of employees and employers making a temporary agreement to reduce employees´ employment ratio. It is then possible to apply for unemployment benefits alongside the reduced employment ratio. The employee’s employment ratio must be reduced by at least 20% and cannot be reduced further down than 25% (Therefore in order for this measure to apply an employee must have been in at least 45% employment before the reducement). 	Deferral of tax payments; financial support for tourism sector; refund of VAT for construction projects. Public investment projects will be advanced.			https://www.government.is/news/article/2020/03/09/response-to-COVID-19-in-Iceland/
IRL		April 16, 2020		53.214	-7.588	Ireland	Schools are closed, travel restrictions, large gatherings are banned, social distancing measures 	Teleworking encouraged when possible	Rules for Illness Benefit and Supplementary Welfare Allowance will be changed to help prevent the transmission of coronavirus. The changes mean that if a worker is diagnosed with COVID-19, or are suspected of having COVID-19 and are medically required to self-isolate (see right), she can get income support without having to wait for 6 days and at a hgiher rate than before.  The means test for Supplementary Welfare Allowance will be removed if a person is medically required to self-isolate or are diagnosed with COVID-19.	Legislation in preparation to allow workers required to self-isolate to get income support (see left). Self-employed will also be covered. The means test for Supplementary Welfare Allowance will be removed if a person is medically required to self-isolate or are diagnosed with COVID-19.  	Workers are allowed to take 3 days force majeure leave in a 12-month period, or 5 days in a 36 month period. You can ask your employer to allow you to take the full 5 days paid force majeure leave together.	New COVID-19 Pandemic Unemployment Payment. The payment will be available to all employees and the self-employed who have lost employment due to a downturn in economic activity caused by the COVID-19 pandemic. The payment has a simple one–page application form and will be paid for a period of 6 weeks at a flat rate payment of 350 euros per week for jobseekers. 	The COVID-19 Wage Subsidy allows employers to pay their employees during the current pandemic. Employers will be refunded up to 70 percent of an employee's wages - capped at a maximum weekly tax free payment of €410 per employee which is equivalent to 70% of the net weekly income for someone on €38,000 per annum.  The Short-time Work Support (STWS) Scheme is an income support payment – a form of Jobseekers Benefit – for employees who have been temporarily placed on a shorter working week	Deferral to stamp duty and extensive supports for SMEs.		The government and five major banks agreed that customers affected by the Covid-19 outbreak will get a three-month mortgage break.   Emergency Measures in the Public Interest Covid Bill will freeze rents and prevent eviction for the duration of the emergency.  Support will also be provided to buy-to-let bank customers with tenants affected by Covid-19, to allow them to show forbearance to their tenants. 	https://www.gov.ie/en/campaigns/c36c85-covid-19-coronavirus/  https://www.gov.ie/en/speech/d162df-speech-of-an-taoiseach-leo-varadkar-td-post-cabinet-statement-tuesda/
ISR		March 19, 2020		30.992	34.834	Israel*	Schools are closed, travel restrictions, large gatherings are banned, social distancing measures, tracking of infected people. 	Only vital employees in the public sector will work. The rest will have to take paid (with some deductions) leave days. In addition, only 30% of the private sector employees are allowed to go (physically) to work.  				All employees on unpaid leave for at least 30 days will be able to claim unemployment benefits immediately. Unemployment benefits can be claimed after employment for the least 6 months, from 12 months previously  A one-time payment of NIS 6000 (about EUR 1500) for the self-employed. Criteria are still to be set.		11 March the government announced an extended package of measure worth NIS 10 billion (0.7% of GDP). NIS 1 billion will be allocated to the health system. Another NIS 1 billion for special needs such as police and fire services. The fund for state guaranteed loans to support mainly SMEs with cash-flow problems was increased from NIS 4 billion to NIS 8 billion. 			https://www.health.gov.il/English/Topics/Diseases/corona/Pages/default.aspx
ITA		April 7, 2020		45.282	10.622	Italy	Since March 17th strict restrictions over the entire national territory, only essential shops are open and movements, including in cities, limited to essentials.	Simplification of the rules applied to tenders for purchasing laptops for teleworking in the public sector. Subsidies for firms to purchase personal protective equipment. Tax deduction for Covid 19 sanification interventions. Until the end of the emergency, public administration use tele-working as default. Agrement between social partners on measures to ensure the health and safety of workers.  EUR 100 tax-free bonus for workers who continue working, for incomes below EUR 40 000.   Hire of 200 doctors for INAIL to strengthen the health&safety enforcement.	If workers get infected by Covid-19 during work, it is considered as work-related accident	Quarantine, if imposed by medical authorities, and work leave for disabled/immunocompromised individuals is considered as sick leave; payments usually covered by the employers are charged to the State. 	15 days of leave, paid at 50% of the salary, for parents with children younger than 12, and unpaid leave for parents with children aged between 12 and 16, or alternatively a baby-sitting voucher of maximum value of EUR 600 (EUR 1000 for medical workers).   Retrospectively from March 5, employees and self-employed (the latter only if their pension scheme is managed by the National Security Institute) with kids aged 12 or less (or disabled of any age) are entitled to either (1) 15 days (or entire duration of school closure for public employees) leave paid at 50% of pay/self-employment income (social contributions fully covered); (2) 600 euro (1000 for employees in the public or contracted health sector and police). Self-employed enrolled in pension schemes not managed by the National Security Institute can access option (2). For kids aged 12-16, employees can take an unpaid leave during school closure. Public employees (apart from the health sector and police/army/civil protection) can only access option (1), but for the entire period of school closure. 	Extension of deadlines for applying for unemployment insurance.  Lump sum of 600 euro for the month of March, tax exempt, for the vast majority of the self-employed, seasonal workers in the touristic sector, agricultural employees, workers in performing arts; 100 euro for employees with income below 40K who, in March, continued working in their workplace during the emergency. The Government created a special fund for self-employed not enrolled in pension schemes managed by the National Security Institute and future decrees will clarify how to distribute these funds. Suspension of the conditionality rules for recipients of the basic income scheme (Reddito di Cittadinanza). Emergency income to people not covered by other income support measures such as irregular workers. Payment of social contributions due for domestic workers postponed to June.	Short-time work schemes extended to all companies.	Suspension and postponement of tax deadlines and social security obligations. Increased generosity of the public credit guarantee fund for SMEs (including an ease of eligibility criteria, the increase of the maximum guarantee to EUR 5 million, the removal of fees) valid for the next 9 months; additional financial help for SMEs directly hit by the crisis; additional guarantee for firms that do not have access to the standard public guarantee scheme; EUR 700 million in measures to support the troubled airlines (and income support for their workers), Alitalia, and Air Italy. Immediate-loan scheme through the export-credit agency with 100% government risk assumption and without a firm’s risk assessment for SMEs. 	Dismissals for economic reasons are suspended for two months 	Temporary suspension of mortgage payments	http://www.governo.it/it/approfondimento/coronavirus/13968; http://www.mef.gov.it/focus/Coronavirus-le-misure-del-Governo-per-ridurre-limpatto-economico/ http://www.mef.gov.it/focus/Coronavirus-le-misure-del-Governo-per-ridurre-limpatto-economico/
JPN		April 14, 2020		35.962	137.855	Japan	On 2 March, almost all schools decided to close temporarily in response to the request from the government. This temporary closure is likely to continue into early April for many schools. On 7 April, the Prime Minister declared a state of emergency that affects several prefectures including Tokyo.  Based on this declaration, these prefectures call on residents to stay at home unless they need to see a doctor, buy daily necessities or carry out essential duties. 	Employers who introduce telecommunications equipment for teleworking as a response to Covid-19 can receive a subsidy of 50% (up to JPY 1,000,000) of the installation cost.	If workers get infected by Covid-19 during work or commuting, workers can be eligibile for industrial accident compensation insurance.   Employed workers who are infected with or suspected to be infected with COVID-19 virus and who have to take a time off from work have become eligible to a sick-leave allowance financed by insurers of public health insurance, provided those workers fulfil certain requirements.		Workers can take leave which is not counted in the regular annual leave if their child’s elementary schools are closed. The government would subsidy employers for the payment of the leave with the limit of JPY 8330 per person per day.   The government will provide JPY 4100 per a day off to independent contractors who had to take care of their children due to emergency elementary school closures.  Temporary special benefits of JPY 10,000 per eligible child will be paid to households receiving the child allowance.	Loans up to JPY 200,000 are provided to households, such as self-employment, who have lost income and are in need of emergency and temporary lending to maintain their livelihood due to Covid-19.  Tthe benefit of  JPY 300,000 per household will be provided to low-income households whose monthly income is either (1) lower than before the outbreak of the Covid-19 and who are exempt from resident tax, or (2) lower than 50% before the outbreak of the Covid-19 and who are less than twice the level of exemption from resident tax.  Due to the impact of the Covid-19, if business income has decreased by approximately 20% or more compared to the same period of the previous year for a period of one month or more from February 2020, and it is difficult to pay taxes at once, the payment of income tax, corporate tax, consumption tax, etc. will be postponed for one year.	The government expanded the coverage of the Employment Adjustment Subsidy (EAS) by including the temporary shutdown due to Covid-19 response and eased the requirement of EAS in the cases of Covid-19 response. One of the required conditions for EAS was 10% reduction of production for more than 3 month . However, a 5% reduction of production for one month will qualify for the subsidy.  In addition, the subsidy rate will be increased to four-fifths for SMEs and two-thirds for large enterprises, and, if the enterprise does not lay off workers, to nine-tenths for SMEs and three-quarters for large enterprises, as well as to cover non-regular workers who are not insured by employment insurance.	Firms whose sales have been declining by at least 5% due to Covid-19 can get loans at a low interest rate of up to 60 million yen.  Also the government will create a new benefit system for SMEs and sole proprietors such as freelancers, who are in a particularly difficult situation. For enterprises whose business income has decreased by 50% or more compared to the same month of the previous year, they will receive the same amount as the income reduction up to 2 million yen for SMEs and up to 1 million yen for sole proprietors.   Due to the impact of the Covid-19, if business income has decreased by approximately 20% or more compared to the same period of the previous year for a period of one month or more from February 2020, and it is difficult to pay taxes at once, the payment of income tax, corporate tax, consumption tax, etc. will be postponed for one year.		Households affected by Covid-19 can postpone utility payments if they cannot afford to pay	http://japan.kantei.go.jp/ongoingtopics/_00013.html http://japan.kantei.go.jp/ongoingtopics/COVID19Response/COVID19April7BasicAPolicies.pdf https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/newpage_00032.html
KOR		March 31, 2020		36.338	128.16	Korea	Schools are closed until April 6 with possible extension	Enforce guidelines for densely populated workplaces such as call centres and to encourage business to allow remote working to reduce community infections. 	Employees who are (self-)qurantined or hospitalised are entitled to paid leave from the employer or living allowance from the government. In the former case, the employers can ask the government for reimboursing the cost of paid leave from 17 Feb 2020.  	See column E	KRW 50 000/day is paid up to 5 days to workers whose 1) grandparents, parents, partner, partner’s parents, grand children are confirmed of Covid19 or show symptoms of Covid19, 2) whose children stay at home due to school opening postponement. Urgent child care is provided in child day care centres. For parents who both work and have children under age 12, at-home-childcare service is provided. 	Nationwide financial supports, including providing emergency living allowances and reducing health insurance premiums, will be provided low-income househoulds due to losing jobs and closing their businesses. On the top of this, comsuption vouchers are provided to low-income households. The supplementary budget passed on 17 March includes subsidies to intermediate governments which will be used for employment protection programmes for non-regular workers and daily workers. Seoul will pay up to 500,000 won to households whose income are below a designated level. Jeonju introduced "disaster basic income" amounting KRW 527,000, which will be provided on April, for non-regular workers and the unemployeed. Kangwon also decide to provide small businesses and the unemployeed with KRW 400,000 as disaster basic income. 	Expediate permission on overtime in businesses related to corona crisis (e.g., masks and disinfection products) Relaxing the condition of employment maintaining subsidies and increasing the level Temporary suspension for labour inspection The government also decided to expand the social security contribution reliefs with the 3 months payment deferrals and the 30% contribution rate reductions for small businesses. The government will also provide electricity bill payment deferral for three months to SMEs 	The National Assembly of Korea passed an extra budget bill worth more than KRW 10 trillion to help fight against the new coronavirus, which includes supports for the low-income households and small businesses. For the first six months of this year, 50% of income tax and corporate tax will be reduced for landlords who lower voluntarily the rent of the small business owner. For property owned by the state, rents will be reduced to one-third by the end of this year. Expanding low-interest loans for small businesses		Home utility payments including electricity bills will be suspended. 	Ministry of health and welfare: http://ncov.mohw.go.kr/supportPolicyBoardList.do?brdId=5&brdGubun=51&dataGubun=&ncvContSeq=&contSeq=&board_id=  Ministry of SMEs and Startups: https://www.mss.go.kr/site/smba/ex/bbs/View.do?cbIdx=81&bcIdx=1016958 Ministry of employment and labour: http://www.moel.go.kr/index.do 
LVA		March 23, 2020		56.874	26.263	Latvia	Schools and universities are closed, large gatherings are banned, non essential shops are closed, travel restrictions are in place	Enforce remote working in public institutions working with clients (front-office). 	Taking into account the risks posed by COVID-19 and the state of emergency in Latvia, temporary amendments to the Law on On Maternity and Sickness Insurance introduced on March 20 to provide support to employers in ensuring the payment of sick leaves due to COVID- 19 emergency situation to be in force until 30 June 2020. Amendments set that if a worker has been issued a sick-leave certificate by 30 June 2020 due to illness with COVID-19 (or being quarantined if the doctor has issued an incapacity sheet), the sickness allowance shall be granted and paid for the period from the second day of the incapacity for work (in general case it is paid from 11th day). The sickness allowance shall be granted at 80 per cent of the average insurance contribution salary of the beneficiary. Sick-leave certificate B shall be issued for this period. As regards the granting, calculation, period of payment and overpayment of sickness benefits, the existing arrangements shall apply.	See column I "Helping firms to adjust working time and preserve jobs"	Public childcare facilities remain open to look after children of essential service workers and parents parents who cannot provide childcare by themselves.	Regular unemployment benefit scheme and support by Public Emplyment Service in case of collective lay-offs. 	Idleness support introduced on March 20: If the employer of the sectors affected by the crisis does not employ an employee or does not perform the activities (idleness), the remuneration of the employee shall be compensated, in accordance with the procedures specified by the Cabinet of Ministers, for up to 75 per cent of the average amount of remuneration of the previous six months, but not more than EUR 700 per month (idleness allowance). In such case, the employer may not apply Section 74 of the Labour Law. The idleness benefit shall not be subject to the personal income tax and the mandatory state social insurance contributions. The payment of an idle allowance shall be suspended if the employer recruits new employees at the time of receipt thereof.	One billion-euro (about 3.3% of GDP) fund to assist businesses through the state-owned development bank. The assistance will take various forms, from paying for sick leave, import and export guarantees and tax holidays. Other support measures are being discuss with the EU.  			https://www.mk.gov.lv/en/content/covid-19; https://www.president.lv/en/news/news/president-of-latvia-promulgates-several-emergency-response-laws-26192
LTU		April 14, 2020		55.342	24.23	Lithuania	School closures, travel bans, limited social activities encouraged, only essential shops remain open		If health care professionals, officials or other employees are infected with the illness for which the emergency is declared, they are offered a maximum sickness benefit of 100 percent from net pay.   If a worker suffers from a serious chronic illness listed on a list approved by the Minister of Health and has no access to remote work or idle time, he or she would be able to receive sickness benefit during an emergency. The benefit will be 62.02 percent of the gross salary.		Working grandparents shall be included in childcare so that they can receive sick pay and sickness benefit for the care of a healthy kindergarten child, pre-schooler, elementary schooler or disabled person under 21 years of age attending educational institution. However, grandparents would only be able to benefit from this exception if parents were unable to take advantage of the remote work and were not put on short-time work. In this case, incapacity is granted until the end of the emergency and the infectious disease control regime is lifted. The benefit would be 65.94 percent of the gross salary.  Disability and sickness benefit is provided to those employees needing to care for a disabled person if that disable person has previously attended a day care centre. Incapacity will be granted until the end of the emergency and the infectious disease control regime is lifted. If a disabled child under the age of 21 attended school and enrolled in a general or special education program, one of his or her parents, guardians or, if they are unable, one of the grandparents will be eligible for sick pay and sickness benefit. The sickness benefit for care is 65.94 percent from salary “on paper”. The access to sick pay and sick pay will also include those caring for an elderly person. 	Self-employed persons who have paid social security contributions for at least 3 months during the last year prior to the declaration of emergency will be paid a lump sum from the Guarantee Fund. The monthly benefit will amount to the minimum consumption requirement for the current year, which is € 257 per month. The benefit will be available through the Employment Service but will not be paid to self-employed persons who work under an employment contract.  Unemployed registered with the VET program receive training will keep receiving a scholarship of € 236, even though the education process itself is temporarily inaccessible or is carried out remotely.	When the Government declares an emergency and quarantine which prevents the employer from providing the contracted work to the employees, the employer has the right to declare downtime or partial downtime. During downtime, employees may not be required to perform work functions and are paid at least the minimum wage, but only if the employment contract stipulates a full working time rate. Subsidies‘ amounts:  • 90 percent. from the employee's accrued salary, but not more than 607 euros bruto.  • 70 percent. from the employee's accrued salary, but not more than EUR 910.5 bruto.  Employers who have benefited from the subsidies will also have to keep at least 50 percent jobs for at least 3 months from the end of the payment of the subsidies.	An economic stimulus plan (EUR 2.5 billion) to mitigate the effects of the coronavirus. Measures include postponement of the payments date of tax arrears for the affected taxpayers and subsidies to preserve jobs.	An employer is allowed to suspend an employee in an emergency or quarantine if the employee's medical condition endangers his or her colleagues, but the employee does not agree to work remotely. Suspension from work would be of limited duration, with no pay for this period. This is relevant when workers return from states covered by coronavirus but still go to work and disregard recommendations for isolation during the incubation period. As it is known, persons returning from any foreign country are obliged to self-isolate for 14 days.		http://lrv.lt/en/relevant-information/coronavirus-in-lithuania/relevant-information-1/covid-19-hotline-and-contacts-for-residents
LUX		April 3, 2020		49.671	6.113	Luxembourg	School closures, travel bans, limited social activities encouraged, only essential shops remain open. A complete ban of all non-essential movements could be introduced in the coming days.	Employees are encouraged to work from home. The option of closing border has not been considered as Luxembourg heavily relies on the daily commuters and around 70% of medical staff are non-residents	In the context of the measures adopted by the Government to contain the spread of the coronavirus, a specific form has been drawn up for those parents who have to look after their child(ren) under 13 years old, so that they will be able to benefit from leave for family reasons.  Leave for family reasons may be taken by a parent of such a child if no other childcare options are available.  If necessary, parents may alternate taking leave for family reasons. If so, each parent must send in a separate form.		Family leave cannot be denied. Simplified procedures for requests for special leave for family reasons due to school closures with public financial support.	Self employed can take family leave if affiliated to the Mutualité des Employeurs, the employers' mutual insurance scheme, as a self-employed person. The smallest companies and freelancers would be eligible for a new €5,000 grant that does not have to repaid and will not be taxable. The grant is meant for firms like hairdressers and restaurants that were forced to close their doors on 18 March, he said. Automatic extension of unemployment benefits lapsing during state of crisis.	Expansion of short-time working scheme ("chômage partiel") to all companies affected by effects of the current crisis, with 80% of employee's salary being reimbursed through the Fonds pour l'emploi, floored at minimum wage and up to a level of 250% of minimum wage. (estimated impact: €500m per month) Simplified, online procedures in place for companies requesting "chômage partiel".	Companies can request cancellation of Q1 and Q2 2020 corporate tax advance payments and may ask for the deferral of payments due after 29 February, without late payment penalties. Deadline for filing corporate and personal income tax returns is extended to 30 June 2020. Outstanding VAT credits below €10,000 have automatically been reimbursed during the week of 16 March. Penalties for the late submission of VAT and other declarations are waived. Additional flexibility starting 1 April by the Centre commun de la sécurité sociale for companies' payments of social contributions, notably through a temporary suspension of late payment fees and of forced recoveries.  Companies with less than 10 employees, forced to cease their activities under the "state of crisis", to receive tax-free lump-sum grants of up to €5000 (estimated impact: €50m). New aid scheme introduced to support SMEs, providing repayable advances of up to €500 000 (estimated impact: €300m). Temporary suspension of refunds for cancelled package holidays in support of travel agents.  Additional loans and guarantees.		Extension of the seasonal suspension of evictions from dwellings (la trêve hivernale). Lowering of eligibility criteria and increase of financial support under means-tested housing subsidies for rent and ownership.	https://msan.gouvernement.lu/en/dossiers/2020/corona-virus.html https://meco.gouvernement.lu/dam-assets/dossiers/TableauProgrammeStabilisation.pdf
MEX		March 24, 2020		22.925	-101.68	Mexico	Measures remain fragmented and vary across states. 										https://www.gob.mx/salud/documentos/nuevo-coronavirus
NLD		April 7, 2020		52.426	5.721	Netherlands	Schools, kindergartens, restaurants, cafés and universities are closed. As of 23 March all gatherings are banned. Additional measures to keep social distance in shops. Ban on "contact professions" related to personal care such as barbers and beauticians. Borders are closed for “unnecessary travel” for 30 days starting 18 March.	Employees are encouraged to work from home			Some schools and childcare facilities remain open, with a skeleton staff, to look after children of essential service workers. These services are provided free of charge for families in which at least 1 parent performs essential services (education, healthcare, childcare, food sector, key transport, key public sector).	Complementary income support for self-employed persons up to social assistance benefit level for three months. No asset or partner income test. Support can also be provided in the form of a working capital loan at a reduced interest rate.	The reduced working time scheme (making use of the unemployment benefit scheme) has been reformed into a temporary labour cost compensation scheme, called Tijdelijke Noodmaatregel Overbrugging ten behoeve van behoud van Werkgelegenheid (NOW). An employer expecting a turnover loss of at least 20% can apply for a salary contribution subsidy of maximum 90% of the wage bill for three months (depending on the turnover loss), as long as no staff is made redundant for economic reasons and their wages are not cut during the subsidy period. 	Tax holiday for affected businesses (concerning corporate income tax, value added tax and payroll tax). Temporary bridging loans for small and medium-sized enterprises. One-off €4,000 compensation for entrepreneurs in specific sectors (restaurants, "contact professions", retail sector).		The Dutch government has moved to stop eviction during the COVID-19 period, and is preparing legislation to extend time-limited rental contracts (at present at expiration the tenants either have to leave or be offered a contract of unlimited duration). Until 1 July 2020, banks or other financial institutions will not be able to force sales of homes whose owners cannot meet their mortgage payments.	https://www.government.nl/topics/coronavirus-covid-19
NZL		April 9, 2020		-42.558	172.377	New Zealand	Travel restrictions in place and border closed.	Employees are encouraged to work from home	The COVID-19 Leave Payment Scheme is designed to help people who should self-isolate, but otherwise might be deterred because of financial reasons. Payments will be $585.50 per worker per week for full-time workers and $350 per worker per week for part-time workers. We recommend employers provide paid special leave beyond this period, or when workers are self-isolating. 			Anyone who loses their regular income due to self-isolation will still receive a payment, whether they work for a big or small company, in one sector or another, or if they are self-employed.  All people legally working in New Zealand are eligible for the scheme. Wage subsidies open to sole traders and the self-employed as well as firms.	Wage subsidies will be available for all employers that are significantly impacted by COVID-19 and are struggling to retain employees as a result.	NZD 12.1 billion (4% of GDP) fiscal support to help businesses cope with the economic effects of the pandemic (it includes wage subsidies).		Temporary (six-month) freeze of rent increases; suspension of evictions from rental properties (except if both parties agree and/or in limited circumstances)	https://www.govt.nz/covid-19-novel-coronavirus/ https://www.rnz.co.nz/news/national/413291/christchurch-city-council-allows-rate-payment-deferrals
NOR		April 9, 2020		61.155	9.77	Norway	Shut down of schools and universities, cultural and sports events and some private-sector.					First phase that includes government taking a great role in paying wages when companies temporarily lay off workers, accelerated payment of company tax rebates and deferral of household wealth tax payment.	Targeted sectoral support is being planned, this is likely to include support for the aviation and travel sectors. Pay of wages when companies temporarily layoff workers.	Government will pay a portion of fixed costs for companies facing significant turnover decrease relating to Covid-19. 		Temporary changes to mortgage regulations	https://www.regjeringen.no/en/topics/koronavirus-covid-19/id2692388/
